algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
constructive_learning,0.013,0.422,0.907,0.907,0.907,0.907,0.907,0.858,0.858,0.858,0.093,0.093,0.238,0.826,0.909,0.524,41.042
AIS,0.208,9.545,0.927,0.916,0.927,0.918,0.915,0.888,0.877,0.887,0.073,0.073,0.193,0.667,0.817,0.465,52.375
GBBK,0.020,0.045,0.728,0.918,0.728,0.768,0.821,0.632,0.713,0.608,0.272,0.272,0.906,3.819,1.954,0.410,-170.274
GE SVM,4.558,6.984,0.889,0.882,0.889,0.869,0.867,0.836,0.817,0.828,0.111,0.111,0.275,0.844,0.919,0.330,41.623
Hidden Naive Bayes (HNB),0.015,0.056,0.728,0.918,0.728,0.768,0.821,0.632,0.713,0.608,0.272,0.272,0.906,3.819,1.954,0.410,-170.274
HistGradientBoostingClassifier,0.667,27.757,0.875,0.877,0.875,0.875,0.876,0.809,0.813,0.809,0.125,0.125,0.333,1.138,1.067,0.444,18.836
IGRF-RFE with k-fold Cross-Validation,0.003,0.242,0.904,0.906,0.904,0.905,0.906,0.853,0.854,0.853,0.096,0.096,0.245,0.842,0.917,0.512,39.911
ICA,0.183,21.717,0.924,0.917,0.924,0.918,0.916,0.884,0.874,0.883,0.076,0.076,0.194,0.656,0.810,0.510,53.138
Lasso Regression,0.012,42.224,0.891,0.872,0.891,0.871,0.867,0.838,0.819,0.831,0.109,0.109,0.268,0.823,0.907,0.343,42.688
Meta (KNN),4.144,0.297,0.922,0.913,0.922,0.915,0.913,0.880,0.869,0.880,0.078,0.078,0.201,0.686,0.828,0.492,51.036
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.120,462.571,0.826,0.801,0.826,0.810,0.803,0.731,0.725,0.729,0.174,0.174,0.390,1.164,1.079,0.313,17.323
Projected Gradient Descent (PGD),0.012,25.417,0.892,0.873,0.892,0.871,0.868,0.840,0.821,0.833,0.108,0.108,0.269,0.838,0.915,0.332,41.566
PCA,0.006,0.498,0.905,0.906,0.905,0.905,0.906,0.855,0.853,0.855,0.095,0.095,0.249,0.858,0.926,0.534,38.726
RBF,3.157,5.158,0.889,0.886,0.889,0.869,0.869,0.837,0.818,0.829,0.111,0.111,0.273,0.832,0.912,0.333,42.514
Stacked Convolutional Neural Networks with k-fold Cross-Validation,2.180,47.919,0.900,0.880,0.900,0.879,0.874,0.849,0.830,0.845,0.100,0.100,0.257,0.831,0.912,0.344,40.890
Simulated Annealing (SA),0.004,47.055,0.772,0.755,0.772,0.725,0.727,0.670,0.657,0.639,0.228,0.228,0.648,2.024,1.423,0.241,-25.281
SVM with Optimization and k-fold Cross-Validation,1.167,4.974,0.888,0.891,0.888,0.868,0.869,0.836,0.816,0.827,0.112,0.112,0.275,0.828,0.910,0.332,43.071
Stacking Classifier,0.786,69.474,0.902,0.901,0.902,0.902,0.901,0.850,0.852,0.850,0.098,0.098,0.255,0.886,0.941,0.481,36.729
Stacking Dilated Convolutional Autoencoders,0.014,2.941,0.921,0.905,0.921,0.909,0.902,0.879,0.866,0.879,0.079,0.079,0.204,0.691,0.832,0.457,50.798
Temporal Deep Feedforward Neural Network,2.599,59.745,0.887,0.857,0.887,0.864,0.858,0.834,0.814,0.825,0.113,0.113,0.275,0.837,0.915,0.314,42.126
Voting Classifier,0.096,0.834,0.907,0.913,0.907,0.910,0.912,0.858,0.861,0.858,0.093,0.093,0.237,0.834,0.913,0.555,40.517
GBT,0.197,112.570,0.887,0.909,0.887,0.897,0.904,0.829,0.845,0.829,0.113,0.113,0.307,1.124,1.060,0.512,20.274
CART,0.010,790.897,0.743,0.620,0.743,0.660,0.633,0.647,0.614,0.590,0.257,0.257,0.740,2.317,1.522,0.221,-30.851
